,운동,산책,자전거,라이딩,야구장,수영장,드론,페스티벌,콘서트,불꽃놀이,야경,주차장,화장실,대중교통,편의점,데이트,피크닉,돗자리,나들이,휴식,깨끗,자연,습지,치킨,카페,라면,
강서,0.57735027 ,0.70710678 ,0.64532721 ,0.70710678 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.56857343 ,0.39329961 ,0.000000 ,0.442188734,0.00000000 ,0.00000000 ,0.00000000 ,0.48837235 ,0.55208603 ,0.56201868 ,0.59355741 ,0.43091126 ,0.00000000 ,0.00000000 ,0.00000000 ,
광나루,0.79963792 ,0.62925804 ,0.61732135 ,0.80599828 ,0.14935585 ,0.00000000 ,0.66546925 ,0.00000000 ,0.00000000 ,0.00000000 ,0.73114575 ,0.69424758 ,0.78580559 ,0.370592 ,0.42622866 ,0.83620807 ,0.58001610 ,0.32282069 ,0.79963792 ,0.39926044 ,0.61732135 ,0.65721135 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,
난지,0.71024606 ,0.58311445 ,0.64402330 ,0.80944889 ,0.59171051 ,0.00000000 ,0.00000000 ,0.65185705 ,0.78446885 ,0.00000000 ,0.71721980 ,0.41580716 ,0.42528223 ,0.720338 ,0.72862265 ,0.66346538 ,0.77644325 ,0.61220161 ,0.76533600 ,0.73000320 ,0.70710678 ,0.71871222 ,0.51583643 ,0.00000000 ,0.00000000 ,0.00000000 ,
뚝섬,0.64308744 ,0.59405295 ,0.68932656 ,0.89442719 ,0.00000000 ,0.00000000 ,0.51073131 ,0.38947051 ,0.00000000 ,0.33244191 ,0.70710678 ,0.51908249 ,0.26126226 ,0.272832 ,0.39866415 ,0.28631685 ,0.50390129 ,0.36001012 ,0.47249150 ,0.42525108 ,0.31206051 ,0.33630148 ,0.00000000 ,0.62204891 ,0.25606289 ,0.28631685 ,
망원,0.78222658 ,0.78299788 ,0.70801492 ,0.73473200 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.79720507 ,0.70828139 ,0.69315627 ,0.577498 ,0.50676160 ,0.82159523 ,0.74088822 ,0.50803918 ,0.55041157 ,0.67720781 ,0.74533471 ,0.67448656 ,0.52620827 ,0.67147411 ,0.55331974 ,0.70948028 ,
반포,0.37791870 ,0.70710678 ,0.31882555 ,0.35573080 ,0.00000000 ,0.00000000 ,0.00000000 ,0.47192513 ,0.00000000 ,0.00000000 ,0.49615151 ,0.39833944 ,0.36429882 ,0.157874 ,0.38134490 ,0.40546529 ,0.25148899 ,0.33543972 ,0.35737894 ,0.45372087 ,0.35204657 ,0.00000000 ,0.00000000 ,0.42130546 ,0.46958082 ,0.31043910 ,
양화,0.93357102 ,0.86709457 ,0.81444221 ,0.64806089 ,0.00000000 ,0.00000000 ,0.00000000 ,0.42431900 ,0.00000000 ,0.49927077 ,0.84393564 ,0.66488373 ,0.68350484 ,0.428441 ,0.61302373 ,0.69811475 ,0.71766494 ,0.47396824 ,0.74046232 ,0.74046232 ,0.73879974 ,0.46384412 ,0.70710678 ,0.68061783 ,0.82392587 ,0.73227296 ,
여의도,0.74037566 ,0.62185878 ,0.50173956 ,0.37986597 ,0.00000000 ,0.00000000 ,0.00000000 ,0.59959064 ,0.00000000 ,0.65126291 ,0.698508251,0.84331171 ,0.39291101 ,0.400572 ,0.41773716 ,0.60965273 ,0.63020306 ,0.32923293 ,0.65965166 ,0.70710678 ,0.45964320 ,0.51804540 ,0.00000000 ,0.38712875 ,0.00000000 ,0.52098769 ,
이촌,0.67711377 ,0.81367581 ,0.67333368 ,0.82020142 ,0.00000000 ,0.00000000 ,0.00000000 ,0.52708437 ,0.00000000 ,0.54960579 ,0.648492051,0.34436456 ,0.25160336 ,0.344872 ,0.38571310 ,0.70710678 ,0.69230118 ,0.35943558 ,0.63520723 ,0.62342925 ,0.48262216 ,0.67806164 ,0.00000000 ,0.79944311 ,0.45836247 ,0.70710678 ,
잠실,0.72818234 ,0.72726149 ,0.66623544 ,0.67957852 ,0.00000000 ,0.52553028 ,0.00000000 ,0.00000000 ,0.00000000 ,0.57347606 ,0.74977576 ,0.80361520 ,0.52915892 ,0.490030 ,0.43368845 ,0.53150204 ,0.71202674 ,0.45604778 ,0.76888125 ,0.69432777 ,0.66572801,0.00000000 ,0.00000000 ,0.66944248 ,0.51948684 ,0.62842339 ,
잠원,0.64102703 ,0.79903899 ,0.66378453 ,0.62929551 ,0.00000000 ,0.73971700 ,0.00000000 ,0.31677264 ,0.00000000 ,0.81260239 ,0.60692913 ,0.74629532 ,0.62810105 ,0.852233 ,0.54784000 ,0.79515494 ,0.58844243 ,0.59052040 ,0.76791385 ,0.77555013 ,0.71637315 ,0.53369123 ,0.00000000 ,0.46660243 ,0.59156700 ,0.64565338 ,
